Designator,Mid X,Mid Y,Layer,Rotation
C1,9.53,9.53,Top,0
C2,25.4,6.67,Top,135
C3,24.77,5,Top,135
C4,61.12,24.13,Top,0
C5,37.78,20.56,Top,180
C6,40.72,3.33,Top,0
C7,24.61,9.21,Top,315
C8,15.08,11.43,Top,315
C9,25.08,19.21,Top,135
C10,25.96,20.08,Top,135
C11,23.73,8.33,Top,315
C12,22.78,7.38,Top,315
D1,35.24,16.75,Top,180
F1,13.34,3.65,Top,0
J1,2.54,5.4,Top,270
LED,21.19,6.51,Top,270
Q1,29.85,14.29,Top,180
Q2,6.99,23.81,Top,0
Q3,15.32,18.81,Top,45
Q4,37.39,3.81,Top,0
R1,11.75,9.53,Top,0
R2,9.53,3.81,Top,180
R3,27.38,17.54,Top,45
R4,26.51,18.41,Top,45
R5,30.48,16.51,Top,180
R6,40.4,7.3,Top,90
R7,22.7,5.64,Top,45
R8,33.97,3.49,Top,180
R9,58.42,24.13,Top,0
R10,40.32,16.83,Top,270
R11,40.72,4.76,Top,180
R12,29.61,11.99,Top,135
R13,27.86,14.29,Top,270
R14,17.62,21.11,Top,45
R15,3.49,23.73,Top,90
RESET,15.88,7.14,Top,0
U1,20.96,14.29,Top,315
U2,53.98,12.7,Top,270
U3,6.83,16.51,Top,270
U4,36.99,11.11,Top,270
U5,37.47,6.67,Top,90
VR1,30.88,6.19,Top,0
Z1,11.11,6.67,Top,270
SPI,5.55,17.62,Bottom,0